consumption,interval_start,interval_end,date,time
0.029,2022-05-28T01:30:00Z,2022-05-28T02:00:00Z,2022-05-28,01:30:00
0.02,2022-05-28T02:00:00Z,2022-05-28T02:30:00Z,2022-05-28,02:00:00
0.022,2022-05-28T02:30:00Z,2022-05-28T03:00:00Z,2022-05-28,02:30:00
0.029,2022-05-28T03:00:00Z,2022-05-28T03:30:00Z,2022-05-28,03:00:00
0.014,2022-05-28T03:30:00Z,2022-05-28T04:00:00Z,2022-05-28,03:30:00
0.037,2022-05-28T04:00:00Z,2022-05-28T04:30:00Z,2022-05-28,04:00:00
0.014,2022-05-28T04:30:00Z,2022-05-28T05:00:00Z,2022-05-28,04:30:00
0.052,2022-05-28T05:00:00Z,2022-05-28T05:30:00Z,2022-05-28,05:00:00
0.049,2022-05-28T05:30:00Z,2022-05-28T06:00:00Z,2022-05-28,05:30:00
0.205,2022-05-28T06:00:00Z,2022-05-28T06:30:00Z,2022-05-28,06:00:00
0.141,2022-05-28T06:30:00Z,2022-05-28T07:00:00Z,2022-05-28,06:30:00
0.461,2022-05-28T07:00:00Z,2022-05-28T07:30:00Z,2022-05-28,07:00:00
0.397,2022-05-28T07:30:00Z,2022-05-28T08:00:00Z,2022-05-28,07:30:00
0.141,2022-05-28T08:00:00Z,2022-05-28T08:30:00Z,2022-05-28,08:00:00
0.05,2022-05-28T08:30:00Z,2022-05-28T09:00:00Z,2022-05-28,08:30:00
0.05,2022-05-28T09:00:00Z,2022-05-28T09:30:00Z,2022-05-28,09:00:00
0.062,2022-05-28T09:30:00Z,2022-05-28T10:00:00Z,2022-05-28,09:30:00
0.255,2022-05-28T10:00:00Z,2022-05-28T10:30:00Z,2022-05-28,10:00:00
0.363,2022-05-28T10:30:00Z,2022-05-28T11:00:00Z,2022-05-28,10:30:00
0.349,2022-05-28T11:00:00Z,2022-05-28T11:30:00Z,2022-05-28,11:00:00
0.353,2022-05-28T11:30:00Z,2022-05-28T12:00:00Z,2022-05-28,11:30:00
0.112,2022-05-28T12:00:00Z,2022-05-28T12:30:00Z,2022-05-28,12:00:00
0.45,2022-05-28T12:30:00Z,2022-05-28T13:00:00Z,2022-05-28,12:30:00
0.247,2022-05-28T13:00:00Z,2022-05-28T13:30:00Z,2022-05-28,13:00:00
0.413,2022-05-28T13:30:00Z,2022-05-28T14:00:00Z,2022-05-28,13:30:00
0.074,2022-05-28T14:00:00Z,2022-05-28T14:30:00Z,2022-05-28,14:00:00
0.073,2022-05-28T14:30:00Z,2022-05-28T15:00:00Z,2022-05-28,14:30:00
0.309,2022-05-28T15:00:00Z,2022-05-28T15:30:00Z,2022-05-28,15:00:00
0.354,2022-05-28T15:30:00Z,2022-05-28T16:00:00Z,2022-05-28,15:30:00
0.689,2022-05-28T16:00:00Z,2022-05-28T16:30:00Z,2022-05-28,16:00:00
0.393,2022-05-28T16:30:00Z,2022-05-28T17:00:00Z,2022-05-28,16:30:00
0.071,2022-05-28T17:00:00Z,2022-05-28T17:30:00Z,2022-05-28,17:00:00
0.064,2022-05-28T17:30:00Z,2022-05-28T18:00:00Z,2022-05-28,17:30:00
0.077,2022-05-28T18:00:00Z,2022-05-28T18:30:00Z,2022-05-28,18:00:00
0.052,2022-05-28T18:30:00Z,2022-05-28T19:00:00Z,2022-05-28,18:30:00
0.073,2022-05-28T19:00:00Z,2022-05-28T19:30:00Z,2022-05-28,19:00:00
0.058,2022-05-28T19:30:00Z,2022-05-28T20:00:00Z,2022-05-28,19:30:00
0.079,2022-05-28T20:00:00Z,2022-05-28T20:30:00Z,2022-05-28,20:00:00
0.044,2022-05-28T20:30:00Z,2022-05-28T21:00:00Z,2022-05-28,20:30:00
0.072,2022-05-28T21:00:00Z,2022-05-28T21:30:00Z,2022-05-28,21:00:00
0.045,2022-05-28T21:30:00Z,2022-05-28T22:00:00Z,2022-05-28,21:30:00
1.066,2022-05-28T22:00:00Z,2022-05-28T22:30:00Z,2022-05-28,22:00:00
1.548,2022-05-28T22:30:00Z,2022-05-28T23:00:00Z,2022-05-28,22:30:00
1.559,2022-05-28T23:00:00Z,2022-05-28T23:30:00Z,2022-05-28,23:00:00
0.535,2022-05-28T23:30:00Z,2022-05-29T00:00:00Z,2022-05-28,23:30:00
0.037,2022-05-29T00:00:00Z,2022-05-29T00:30:00Z,2022-05-29,00:00:00
0.014,2022-05-29T00:30:00Z,2022-05-29T01:00:00Z,2022-05-29,00:30:00
0.306,2022-05-29T01:00:00Z,2022-05-29T01:30:00Z,2022-05-29,01:00:00
0.014,2022-05-29T01:30:00Z,2022-05-29T02:00:00Z,2022-05-29,01:30:00
0.036,2022-05-29T02:00:00Z,2022-05-29T02:30:00Z,2022-05-29,02:00:00
0.016,2022-05-29T02:30:00Z,2022-05-29T03:00:00Z,2022-05-29,02:30:00
0.027,2022-05-29T03:00:00Z,2022-05-29T03:30:00Z,2022-05-29,03:00:00
0.023,2022-05-29T03:30:00Z,2022-05-29T04:00:00Z,2022-05-29,03:30:00
0.017,2022-05-29T04:00:00Z,2022-05-29T04:30:00Z,2022-05-29,04:00:00
0.033,2022-05-29T04:30:00Z,2022-05-29T05:00:00Z,2022-05-29,04:30:00
0.074,2022-05-29T05:00:00Z,2022-05-29T05:30:00Z,2022-05-29,05:00:00
0.155,2022-05-29T05:30:00Z,2022-05-29T06:00:00Z,2022-05-29,05:30:00
0.039,2022-05-29T06:00:00Z,2022-05-29T06:30:00Z,2022-05-29,06:00:00
0.035,2022-05-29T06:30:00Z,2022-05-29T07:00:00Z,2022-05-29,06:30:00
0.015,2022-05-29T07:00:00Z,2022-05-29T07:30:00Z,2022-05-29,07:00:00
0.034,2022-05-29T07:30:00Z,2022-05-29T08:00:00Z,2022-05-29,07:30:00
0.016,2022-05-29T08:00:00Z,2022-05-29T08:30:00Z,2022-05-29,08:00:00
0.023,2022-05-29T08:30:00Z,2022-05-29T09:00:00Z,2022-05-29,08:30:00
0.026,2022-05-29T09:00:00Z,2022-05-29T09:30:00Z,2022-05-29,09:00:00
0.013,2022-05-29T09:30:00Z,2022-05-29T10:00:00Z,2022-05-29,09:30:00
0.037,2022-05-29T10:00:00Z,2022-05-29T10:30:00Z,2022-05-29,10:00:00
0.014,2022-05-29T10:30:00Z,2022-05-29T11:00:00Z,2022-05-29,10:30:00
0.037,2022-05-29T11:00:00Z,2022-05-29T11:30:00Z,2022-05-29,11:00:00
0.014,2022-05-29T11:30:00Z,2022-05-29T12:00:00Z,2022-05-29,11:30:00
0.037,2022-05-29T12:00:00Z,2022-05-29T12:30:00Z,2022-05-29,12:00:00
0.014,2022-05-29T12:30:00Z,2022-05-29T13:00:00Z,2022-05-29,12:30:00
0.037,2022-05-29T13:00:00Z,2022-05-29T13:30:00Z,2022-05-29,13:00:00
0.014,2022-05-29T13:30:00Z,2022-05-29T14:00:00Z,2022-05-29,13:30:00
0.036,2022-05-29T14:00:00Z,2022-05-29T14:30:00Z,2022-05-29,14:00:00
0.015,2022-05-29T14:30:00Z,2022-05-29T15:00:00Z,2022-05-29,14:30:00
0.033,2022-05-29T15:00:00Z,2022-05-29T15:30:00Z,2022-05-29,15:00:00
0.018,2022-05-29T15:30:00Z,2022-05-29T16:00:00Z,2022-05-29,15:30:00
0.028,2022-05-29T16:00:00Z,2022-05-29T16:30:00Z,2022-05-29,16:00:00
0.023,2022-05-29T16:30:00Z,2022-05-29T17:00:00Z,2022-05-29,16:30:00
0.023,2022-05-29T17:00:00Z,2022-05-29T17:30:00Z,2022-05-29,17:00:00
0.027,2022-05-29T17:30:00Z,2022-05-29T18:00:00Z,2022-05-29,17:30:00
0.018,2022-05-29T18:00:00Z,2022-05-29T18:30:00Z,2022-05-29,18:00:00
0.032,2022-05-29T18:30:00Z,2022-05-29T19:00:00Z,2022-05-29,18:30:00
0.013,2022-05-29T19:00:00Z,2022-05-29T19:30:00Z,2022-05-29,19:00:00
0.037,2022-05-29T19:30:00Z,2022-05-29T20:00:00Z,2022-05-29,19:30:00
0.014,2022-05-29T20:00:00Z,2022-05-29T20:30:00Z,2022-05-29,20:00:00
0.038,2022-05-29T20:30:00Z,2022-05-29T21:00:00Z,2022-05-29,20:30:00
0.014,2022-05-29T21:00:00Z,2022-05-29T21:30:00Z,2022-05-29,21:00:00
0.037,2022-05-29T21:30:00Z,2022-05-29T22:00:00Z,2022-05-29,21:30:00
0.014,2022-05-29T22:00:00Z,2022-05-29T22:30:00Z,2022-05-29,22:00:00
0.029,2022-05-29T22:30:00Z,2022-05-29T23:00:00Z,2022-05-29,22:30:00
0.021,2022-05-29T23:00:00Z,2022-05-29T23:30:00Z,2022-05-29,23:00:00
0.019,2022-05-29T23:30:00Z,2022-05-30T00:00:00Z,2022-05-29,23:30:00
0.032,2022-05-30T00:00:00Z,2022-05-30T00:30:00Z,2022-05-30,00:00:00
0.014,2022-05-30T00:30:00Z,2022-05-30T01:00:00Z,2022-05-30,00:30:00
0.036,2022-05-30T01:00:00Z,2022-05-30T01:30:00Z,2022-05-30,01:00:00
0.014,2022-05-30T01:30:00Z,2022-05-30T02:00:00Z,2022-05-30,01:30:00
0.037,2022-05-30T02:00:00Z,2022-05-30T02:30:00Z,2022-05-30,02:00:00
0.014,2022-05-30T02:30:00Z,2022-05-30T03:00:00Z,2022-05-30,02:30:00
0.026,2022-05-30T03:00:00Z,2022-05-30T03:30:00Z,2022-05-30,03:00:00
0.024,2022-05-30T03:30:00Z,2022-05-30T04:00:00Z,2022-05-30,03:30:00
